best_programs,time_used,gen_counts
(((((0.6647 * ((x1 ** 0.4) * (x2 ** 0.5))) + (0.0674 * x2)) + (0.0025 * x1)) - (0.4731 * y1)) + 0.0005),288.5758972,32
(((((0.5138 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.0269 * x2)) + (0.0004 * x1)) - (0.0768 * y1)) + 0.028),309.1691711,32
(((((0.6475 * ((x1 ** 0.5) * (x2 ** 0.4))) + (0.0526 * x2)) + (909.34 * x1)) - (0.3938 * y1)) - 0.0052),367.3498542,41
(((((0.6024 * ((x1 ** 0.4) * (x2 ** 0.2))) + (0.0 * x2)) + (0.0217 * x1)) - (0.0409 * y1)) - 0.0268),236.867018,24
(((((0.5 * ((x1 ** 0.1) * (x2 ** 0.2))) + (0.0532 * x2)) + (0.0124 * x1)) - (0.0585 * y1)) - 0.0),337.5030847,33
(((((0.5651 * ((x1 ** 0.1) * (x2 ** 0.4))) + (0.0 * x2)) + (0.0073 * x1)) - (391.03 * y1)) + 0.0004),326.1581874,32
(((((0.8555 * ((x1 ** 0.2) * (x2 ** 0.5))) + (0.0024 * x2)) + (0.0746 * x1)) - (0.7542 * y1)) + 0.002),400.5202978,39
(((((0.6496 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.0516 * x2)) + (0.0089 * x1)) - (0.5673 * y1)) + 0.0),420.2279115,41
(((((0.4965 * ((x1 ** 0.5) * (x2 ** 0.2))) + (0.0157 * x2)) + (0.0071 * x1)) - (0.0819 * y1)) + 0.0015),337.6634293,33
(((((0.4967 * ((x1 ** 0.3) * (x2 ** 0.3))) + (0.027 * x2)) + (0.0051 * x1)) - (0.6761 * y1)) - 0.0058),337.104573,33
(((((0.8305 * ((x1 ** 0.4) * (x2 ** 0.3))) + (0.0475 * x2)) + (0.0 * x1)) - (0.7899 * y1)) + 0.0),326.5659993,32
(((((0.7571 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.0062 * x2)) + (0.0087 * x1)) - (0.5053 * y1)) + 0.0002),463.3457267,45
(((((0.7993 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.0867 * x2)) + (0.0309 * x1)) - (0.7297 * y1)) + 0.0055),336.3817039,33
(((((0.4616 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.0039 * x2)) + (0.0205 * x1)) - (0.044 * y1)) + 0.0106),243.1526,24
(((((0.7112 * ((x1 ** 0.8) * (x2 ** 0.2))) + (0.0357 * x2)) + (0.0793 * x1)) - (0.4771 * y1)) + 0.0087),263.3910487,26
(((((0.9242 * ((x1 ** 0.3) * (x2 ** 0.3))) + (0.0032 * x2)) + (0.0143 * x1)) - (0.796 * y1)) - 0.0),358.1515419,35
(((((0.6077 * ((x1 ** 0.2) * (x2 ** 0.3))) + (0.0945 * x2)) + (0.0826 * x1)) - (0.3829 * y1)) - 0.0),252.7922084,25
(((((0.5485 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.0 * x2)) + (0.0054 * x1)) - (0.0925 * y1)) + 0.1655),400.2630839,39
(((((0.7309 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.0224 * x2)) + (0.0823 * x1)) - (0.4891 * y1)) - 0.0117),477.0026054,46
(((((0.5124 * ((x1 ** 0.2) * (x2 ** 0.5))) + (0.0046 * x2)) + (0.0034 * x1)) - (0.0201 * y1)) + 0.6345),201.4151654,22
(((((0.7288 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.0072 * x2)) + (0.0068 * x1)) - (0.443 * y1)) + 0.0067),476.7112637,51
(((((0.9122 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.0078 * x2)) + (0.0 * x1)) - (0.0077 * y1)) + 49.734),574.0006852,58
(((((0.6547 * ((x1 ** 0.4) * (x2 ** 0.5))) + (0.0533 * x2)) + (0.0881 * x1)) - (0.6493 * y1)) + 0.0048),302.3817434,31
(((((0.9827 * ((x1 ** 0.1) * (x2 ** 0.8))) + (0.0399 * x2)) + (0.0 * x1)) - (0.7857 * y1)) + 0.0275),263.0061944,27
(((((0.7221 * ((x1 ** 0.2) * (x2 ** 0.5))) + (0.0 * x2)) + (0.0966 * x1)) - (0.5628 * y1)) - 38.81),463.613307,47
(((((0.5232 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.0285 * x2)) + (0.0031 * x1)) - (0.0878 * y1)) + 0.0035),272.7609162,28
(((((0.7669 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.0104 * x2)) + (0.0011 * x1)) - (0.6177 * y1)) + 0.0044),444.2986226,45
(((((0.8806 * ((x1 ** 0.2) * (x2 ** 0.2))) + (0.064 * x2)) + (0.0818 * x1)) - (0.6306 * y1)) + 0.0),252.5810525,26
(((((0.2177 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.0786 * x2)) + (0.0035 * x1)) - (0.4996 * y1)) + 0.0002),493.9860134,50
(((((0.5846 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0027 * x2)) + (0.0967 * x1)) - (0.1734 * y1)) - 0),613.8628693,62
,,1092
,,36.4
