best_programs,time_used,gen_counts
(((((0.4614 * ((x1 ** 0.3) * (x2 ** 0.3))) + (0.1478 * x2)) + (0.0041 * x1)) - (0.0062 * y1)) - 0.0006),254.27053499221802,25
(((((0.9737 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.0048 * x2)) + (9.9352 * x1)) - (0.8074 * y1)) - 0.0091),422.5675926208496,41
(((((0.9439 * ((x1 ** 0.3) * (x2 ** 0.3))) + (0.004 * x2)) + (83.835 * x1)) - (0.7136 * y1)) + 0.0224),337.72925305366516,33
(((((0.8897 * ((x1 ** 0.9) * (x2 ** 0.1))) + (0.0 * x2)) + (0.0943 * x1)) - (0.8049 * y1)) + 0.0058),527.9819145202637,51
(((((0.9895 * ((x1 ** 0.2) * (x2 ** 0.3))) + (0.0018 * x2)) + (0.0014 * x1)) - (0.71 * y1)) + 0.0),454.89155650138855,44
(((((0.7761 * ((x1 ** 0.1) * (x2 ** 0.1))) + (0.0523 * x2)) + (0.0562 * x1)) - (0.4437 * y1)) + 0.0079),337.4141101837158,33
(((((0.6696 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.057 * x2)) + (0.0051 * x1)) - (0.7486 * y1)) + 0.0),432.8827702999115,42
(((((0.7767 * ((x1 ** 0.2) * (x2 ** 0.6))) + (0.0099 * x2)) + (0.007 * x1)) - (0.6289 * y1)) + 0.0),264.64232659339905,26
(((((0.6228 * ((x1 ** 0.1) * (x2 ** 0.1))) + (0.0029 * x2)) + (0.0 * x1)) - (0.0996 * y1)) + 0.0078),285.01932978630066,28
(((((0.9746 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0234 * x2)) + (0.0 * x1)) - (0.0089 * y1)) - 0.5044),358.1075849533081,35
(((((0.5604 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0028 * x2)) + (0.0377 * x1)) - (0.0011 * y1)) + 0.003),295.128381729126,29
(((((0.8373 * ((x1 ** 0.5) * (x2 ** 0.4))) + (0.0495 * x2)) + (0.0035 * x1)) - (0.6918 * y1)) - 0.0),643.8320610523224,62
(((((0.9682 * ((x1 ** 0.5) * (x2 ** 0.1))) + (0.0094 * x2)) + (0.0036 * x1)) - (0.7576 * y1)) - 0.006),222.16401410102844,22
(((((0.6351 * ((x1 ** 0.2) * (x2 ** 0.3))) + (0.0071 * x2)) + (0.0 * x1)) - (0.0895 * y1)) - 0.0007),421.8567337989807,41
(((((0.8832 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0665 * x2)) + (0.0391 * x1)) - (0.8391 * y1)) + 0.0041),485.7279517650604,47
(((((0.6165 * ((x1 ** 0.1) * (x2 ** 0.3))) + (0.0429 * x2)) + (0.0019 * x1)) - (0.0942 * y1)) + 0.0093),253.92795944213867,25
(((((0.144 * ((x1 ** 0.1) * (x2 ** 0.1))) + (0.0 * x2)) + (0.0554 * x1)) - (0.0086 * y1)) - 0.0052),518.4059410095215,50
(((((3.4033 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.0549 * x2)) + (0.0 * x1)) - (0.9273 * y1)) + 0.0032),359.36918783187866,35
(((((0.5677 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.0913 * x2)) + (0.0596 * x1)) - (0.336 * y1)) + 0.0),338.68263721466064,33
(((((0.9611 * ((x1 ** 0.1) * (x2 ** 0.4))) + (0.0004 * x2)) + (0.0438 * x1)) - (0.6673 * y1)) - 0.0097),380.38966846466064,37
(((((0.7839 * ((x1 ** 0.1) * (x2 ** 0.3))) + (0.0096 * x2)) + (0.0496 * x1)) - (0.511 * y1)) + 0.0077),274.2039427757263,27
(((((0.8391 * ((x1 ** 0.2) * (x2 ** 0.2))) + (0.0039 * x2)) + (0.0519 * x1)) - (0.6229 * y1)) - 0.5938),274.12921690940857,27
(((((0.764 * ((x1 ** 0.1) * (x2 ** 0.5))) + (0.0097 * x2)) + (0.0062 * x1)) - (9.1217 * y1)) + 0.1704),296.34925150871277,29
(((((0.9555 * ((x1 ** 0.2) * (x2 ** 0.5))) + (0.0195 * x2)) + (0.0674 * x1)) - (0.9484 * y1)) - 0.0035),243.42892169952393,24
(((((0.691 * ((x1 ** 0.2) * (x2 ** 0.5))) + (0.0875 * x2)) + (0.0304 * x1)) - (0.4962 * y1)) + 0.0466),274.11073756217957,27
(((((0.9039 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.004 * x2)) + (0.0006 * x1)) - (0.7263 * y1)) + 0.0035),507.6262547969818,49
(((((0.439 * ((x1 ** 0.1) * (x2 ** 0.2))) + (0.0073 * x2)) + (0.0621 * x1)) - (0.2015 * y1)) + 0.0),275.7137107849121,27
(((((0.9218 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.0007 * x2)) + (0.0139 * x1)) - (626.98 * y1)) - 0.0056),380.20027351379395,37
(((((0.4859 * ((x1 ** 0.1) * (x2 ** 0.5))) + (0.0097 * x2)) + (0.0587 * x1)) - (0.0707 * y1)) - 0.0071),286.6081712245941,28
(((((0.4768 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0498 * x2)) + (3.3636 * x1)) - (0.0496 * y1)) - 0.0004),326.75394678115845,32
