best_programs,time_used,gen_counts
(((((0.4065 * ((x1 ** 0.3) * (x2 ** 0.7))) + (0.013 * x2)) + (0.0103 * x1)) - (0.0222 * y1)) - 0.0062),358.0581648349762,35
(((((0.5309 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0189 * x2)) + (0.0 * x1)) - (0.0018 * y1)) - 0.0084),279.93571305274963,27
(((((0.4751 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.0754 * x2)) + (0.0049 * x1)) - (0.0056 * y1)) + 0.0),347.17456817626953,33
(((((0.407 * ((x1 ** 0.2) * (x2 ** 0.6))) + (0.0772 * x2)) + (0.0914 * x1)) - (8.3817 * y1)) - 0.0),429.3702507019043,41
(((((0.3538 * ((x1 ** 0.5) * (x2 ** 0.4))) + (0.0844 * x2)) + (0.0253 * x1)) - (0.089 * y1)) + 0.0835),311.00327730178833,30
(((((0.4731 * ((x1 ** 0.2) * (x2 ** 0.6))) + (0.0498 * x2)) + (0.0857 * x1)) - (0.1841 * y1)) - 0.0014),277.46377658843994,27
(((((0.5566 * ((x1 ** 0.3) * (x2 ** 0.6))) + (0.0295 * x2)) + (0.0092 * x1)) - (0.0919 * y1)) - 0.0011),291.9101610183716,29
(((((0.4223 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0618 * x2)) + (0.0723 * x1)) - (0.0701 * y1)) + 0.0085),259.50275564193726,26
(((((0.4352 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.0723 * x2)) + (0.0704 * x1)) - (0.2256 * y1)) + 0.0762),365.17167353630066,36
(((((0.45 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.0743 * x2)) + (0.0135 * x1)) - (0.0756 * y1)) + 0.0547),240.05801606178284,24
(((((0.4146 * ((x1 ** 0.3) * (x2 ** 0.6))) + (0.0137 * x2)) + (0.0455 * x1)) - (0.0728 * y1)) + 0.0258),365.2552616596222,36
(((((0.5587 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0224 * x2)) + (0.006 * x1)) - (0.0711 * y1)) + 0.0033),301.56642746925354,30
(((((0.4456 * ((x1 ** 0.4) * (x2 ** 0.5))) + (0.0727 * x2)) + (0.033 * x1)) - (0.0089 * y1)) + 0.0058),240.12032175064087,24
(((((0.4365 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.0625 * x2)) + (0.0441 * x1)) - (0.0754 * y1)) - 0),363.77845096588135,36
(((((0.405 * ((x1 ** 0.1) * (x2 ** 0.3))) + (0.0898 * x2)) + (0.0651 * x1)) - (0.0816 * y1)) - 1.3386),353.9592876434326,37
(((((0.5031 * ((x1 ** 0.5) * (x2 ** 0.4))) + (0.0926 * x2)) + (0.0094 * x1)) - (0.0125 * y1)) - 0.0053),264.2860507965088,28
(((((0.4919 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.0371 * x2)) + (0.0126 * x1)) - (0.0383 * y1)) + 0.0034),437.00674629211426,46
(((((0.4967 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.0423 * x2)) + (0.0015 * x1)) - (0.0915 * y1)) - 0.0272),262.3266100883484,28
(((((0.4456 * ((x1 ** 0.3) * (x2 ** 0.6))) + (0.0849 * x2)) + (32.129 * x1)) - (0.0254 * y1)) - 0.0035),294.50342559814453,31
(((((0.1728 * ((x1 ** 0.1) * (x2 ** 0.2))) + (0.0027 * x2)) + (0.0041 * x1)) - (0.0697 * y1)) - 0.0007),307.1617155075073,32
(((((0.0048 * ((x1 ** 0.2) * (x2 ** 0.1))) + (0.3162 * x2)) + (0.0421 * x1)) - (0.8858 * y1)) + 0.0083),386.90054845809937,38
(((((0.4855 * ((x1 ** 0.4) * (x2 ** 0.2))) + (0.0 * x2)) + (0.0063 * x1)) - (8.8498 * y1)) + 0.0895),238.0704162120819,25
(((((0.4605 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.0056 * x2)) + (0.0729 * x1)) - (0.0704 * y1)) - 0.002),310.2879776954651,32
(((((0.371 * ((x1 ** 0.4) * (x2 ** 0.2))) + (0.094 * x2)) + (0.007 * x1)) - (0.0917 * y1)) - 0.0003),320.0068154335022,34
(((((0.529 * ((x1 ** 0.4) * (x2 ** 0.5))) + (0.0107 * x2)) + (0.0017 * x1)) - (0.0228 * y1)) - 0.0298),268.0733890533447,29
(((((0.0986 * ((x1 ** 0.3) * (x2 ** 0.7))) + (0.256 * x2)) + (0.1157 * x1)) - (0.0653 * y1)) - 0.0),259.06349658966064,28
(((((0.4947 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.0691 * x2)) + (0.6537 * x1)) - (0.9728 * y1)) - 0.0001),318.1866774559021,34
(((((9.9623 * ((x1 ** 0.5) * (x2 ** 0.2))) + (0.0225 * x2)) + (0.0034 * x1)) - (0.0052 * y1)) - 0.0549),224.74176812171936,25
(((((0.418 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0971 * x2)) + (0.0054 * x1)) - (0.0012 * y1)) + 0.0022),309.64079451560974,34
(((((0.4876 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.0353 * x2)) + (0.0081 * x1)) - (0.0061 * y1)) + 0.0093),199.6861321926117,22
