best_programs,time_used,gen_counts
-0.005 * x1 ** 0.1 * x2 ** 0.2 + 0.016 * x2 + 0.448 * x1 + 0.002 * y1 + -0.001,0.4525306224822998,25
-0.003 * x1 ** 0.3 * x2 ** 0.7 + 0.001 * x2 + 0.001 * x1 + 0.005 * y1 + 0.767,0.42583560943603516,25
0.008 * x1 ** 0.5 * x2 ** 0.1 + -0.007 * x2 + 2.45 * x1 + 10 * y1 + -0.825,0.29398608207702637,25
-0.709 * x1 ** 0.4 * x2 ** 0.4 + -9.7 * x2 + 5.64 * x1 + -7.67 * y1 + 0.004,0.32436203956604004,25
-0.0 * x1 ** 0.2 * x2 ** 0.2 + 0.709 * x2 + -0.007 * x1 + -0.027 * y1 + 0.001,0.3259868621826172,25
12.9 * x1 ** 0.1 * x2 ** 0.4 + 0.0 * x2 + 0.001 * x1 + 0.216 * y1 + 0.796,0.37180447578430176,25
0.033 * x1 ** 0.7 * x2 ** 0.3 + 0.796 * x2 + 0.008 * x1 + -0.0 * y1 + 0.077,0.2659487724304199,22
0.001 * x1 ** 0.2 * x2 ** 0.7 + 18.7 * x2 + 0.419 * x1 + 0.39 * y1 + 0.005,0.3129763603210449,25
-1.29 * x1 ** 0.6 * x2 ** 0.1 + 0.0 * x2 + 0.0 * x1 + 0.187 * y1 + 0.051,0.3855936527252197,25
0.005 * x1 ** 0.2 * x2 ** 0.4 + -0.005 * x2 + 0.071 * x1 + -1580.0 * y1 + -0.007,0.24898123741149902,25
