best_programs,time_used,gen_counts
541.225 * x1 ** 0.4 * x2 ** 0.2 + -213.75 * x2 + 308.275 * x1 + -21.0 * y1 + -238.35,23.07740354537964,39
-186.125 * x1 ** 0.3 * x2 ** 0.1 + -21.525 * x2 + 282.275 * x1 + 141.825 * y1 + -412.225,23.84341812133789,42
-156.225 * x1 ** 0.1 * x2 ** 0.3 + -543.775 * x2 + -6.05 * x1 + -556.425 * y1 + -57.475,18.447879552841187,33
308.575 * x1 ** 0.1 * x2 ** 0.2 + 322.925 * x2 + -60.7 * x1 + -88.6 * y1 + -165.375,17.756028652191162,32
-555.525 * x1 ** 0.1 * x2 ** 0.1 + -27.625 * x2 + -67.0 * x1 + -450.525 * y1 + -292.1,22.063210010528564,40
186.1 * x1 ** 0.1 * x2 ** 0.1 + -223.75 * x2 + -1.2 * x1 + 177.625 * y1 + 470.275,13.79764175415039,24
313.325 * x1 ** 0.3 * x2 ** 0.1 + 4.7 * x2 + -89.575 * x1 + 89.325 * y1 + 201.825,24.669692277908325,45
-256.425 * x1 ** 0.2 * x2 ** 0.1 + -197.45 * x2 + 397.7 * x1 + 117.625 * y1 + 105.15,23.12376308441162,42
-64.1 * x1 ** 0.2 * x2 ** 0.3 + 350.125 * x2 + -27.75 * x1 + 314.95 * y1 + -602.9,23.205488204956055,42
117.85 * x1 ** 0.1 * x2 ** 0.4 + 69.5 * x2 + -167.9 * x1 + 289.2 * y1 + 14.425,17.37217092514038,31
-22.175 * x1 ** 0.1 * x2 ** 0.3 + 588.375 * x2 + 316.725 * x1 + -159.125 * y1 + -326.725,34.18287372589111,61
584.9 * x1 ** 0.3 * x2 ** 0.2 + -593.6 * x2 + 133.975 * x1 + 384.125 * y1 + 506.85,21.83151650428772,39
-49.625 * x1 ** 0.1 * x2 ** 0.4 + -343.55 * x2 + 574.475 * x1 + -252.175 * y1 + 429.775,34.24336767196655,61
420.45 * x1 ** 0.3 * x2 ** 0.4 + -15.55 * x2 + -181.525 * x1 + 586.175 * y1 + 229.9,14.923734903335571,26
710.325 * x1 ** 0.1 * x2 ** 0.1 + 593.225 * x2 + 105.225 * x1 + 756.25 * y1 + 163.525,23.318669319152832,41
457.4 * x1 ** 0.4 * x2 ** 0.1 + -248.0 * x2 + 76.65 * x1 + -283.875 * y1 + -199.75,16.198245763778687,28
-311.75 * x1 ** 0.2 * x2 ** 0.2 + -399.7 * x2 + 181.3 * x1 + 295.925 * y1 + -202.3,20.513445377349854,37
-681.075 * x1 ** 0.1 * x2 ** 0.1 + 56.85 * x2 + -251.45 * x1 + 324.0 * y1 + -480.75,30.60318350791931,55
298.8 * x1 ** 0.5 * x2 ** 0.3 + -128.5 * x2 + -121.55 * x1 + -239.1 * y1 + -224.275,14.905009984970093,27
246.0 * x1 ** 0.2 * x2 ** 0.2 + 30.025 * x2 + -186.575 * x1 + -156.95 * y1 + -359.05,24.36815595626831,44
-78.975 * x1 ** 0.3 * x2 ** 0.5 + 70.825 * x2 + 15.425 * x1 + -482.425 * y1 + -237.575,16.469526290893555,30
625.3 * x1 ** 0.2 * x2 ** 0.3 + -702.675 * x2 + 448.9 * x1 + 395.275 * y1 + 246.225,21.466098308563232,39
-774.775 * x1 ** 0.1 * x2 ** 0.1 + 97.35 * x2 + -174.325 * x1 + 345.125 * y1 + -41.9,24.624320030212402,45
498.85 * x1 ** 0.1 * x2 ** 0.1 + 79.15 * x2 + -603.7 * x1 + -409.375 * y1 + 265.675,29.04959511756897,52
-470.975 * x1 ** 0.3 * x2 ** 0.3 + -109.625 * x2 + 29.4 * x1 + -518.5 * y1 + -69.6,20.037716388702393,36
579.6 * x1 ** 0.3 * x2 ** 0.1 + -780.375 * x2 + 204.55 * x1 + -583.625 * y1 + 154.8,22.452667713165283,41
-64.675 * x1 ** 0.5 * x2 ** 0.1 + -283.125 * x2 + -63.075 * x1 + 584.7 * y1 + 227.55,28.40507698059082,47
67.775 * x1 ** 0.1 * x2 ** 0.2 + 305.1 * x2 + -72.0 * x1 + 341.775 * y1 + -734.85,47.346291303634644,83
-332.825 * x1 ** 0.7 * x2 ** 0.3 + 182.625 * x2 + -82.475 * x1 + -669.625 * y1 + -585.85,11.84042239189148,21
260.975 * x1 ** 0.2 * x2 ** 0.3 + 133.35 * x2 + -328.7 * x1 + -344.525 * y1 + 113.675,23.783421277999878,42
