best_programs,time_used,gen_counts
-217.425 * x1 ** 0.1 * x2 ** 0.2 + -62.225 * x2 + -378.675 * x1 + 73.425 * y1 + 59.725,25.055197954177856,44
62.925 * x1 ** 0.1 * x2 ** 0.2 + 76.975 * x2 + 641.925 * x1 + 323.9 * y1 + 277.825,26.55222797393799,47
-161.5 * x1 ** 0.3 * x2 ** 0.4 + -264.825 * x2 + -77.9 * x1 + -325.65 * y1 + -251.9,15.05216097831726,27
633.375 * x1 ** 0.3 * x2 ** 0.1 + 239.175 * x2 + 725.15 * x1 + -305.45 * y1 + -81.175,19.645100831985474,33
-361.35 * x1 ** 0.3 * x2 ** 0.2 + -800.475 * x2 + 235.825 * x1 + -423.95 * y1 + 336.125,22.606744527816772,38
459.6 * x1 ** 0.1 * x2 ** 0.4 + 122.85 * x2 + 529.375 * x1 + -684.475 * y1 + -768.675,16.07579207420349,28
-63.675 * x1 ** 0.2 * x2 ** 0.2 + 234.325 * x2 + -204.85 * x1 + -620.275 * y1 + 167.925,13.254194021224976,23
-399.425 * x1 ** 0.1 * x2 ** 0.3 + -335.325 * x2 + 125.375 * x1 + -586.075 * y1 + -684.575,29.664541482925415,52
-60.775 * x1 ** 0.1 * x2 ** 0.2 + -419.45 * x2 + 368.45 * x1 + -58.325 * y1 + 805.425,35.75043177604675,63
-83.0 * x1 ** 0.2 * x2 ** 0.1 + -97.95 * x2 + -523.725 * x1 + -376.775 * y1 + 104.525,27.029059648513794,46
-175.7 * x1 ** 0.2 * x2 ** 0.3 + 147.725 * x2 + -315.2 * x1 + -214.425 * y1 + 199.675,30.673917293548584,56
77.075 * x1 ** 0.2 * x2 ** 0.1 + 115.4 * x2 + 159.9 * x1 + 652.75 * y1 + 219.65,25.050291538238525,46
-225.325 * x1 ** 0.3 * x2 ** 0.2 + 74.875 * x2 + -353.675 * x1 + -799.6 * y1 + 234.35,26.303680419921875,48
-555.65 * x1 ** 0.1 * x2 ** 0.2 + 217.275 * x2 + -221.875 * x1 + 336.775 * y1 + 546.075,40.929816007614136,75
-105.15 * x1 ** 0.2 * x2 ** 0.1 + 572.025 * x2 + -91.6 * x1 + -632.625 * y1 + -173.525,21.269845247268677,39
146.125 * x1 ** 0.2 * x2 ** 0.1 + -514.875 * x2 + -13.5 * x1 + -338.75 * y1 + 128.725,25.572198390960693,47
-83.525 * x1 ** 0.3 * x2 ** 0.1 + 683.0 * x2 + -210.325 * x1 + -251.075 * y1 + -118.125,15.333888530731201,28
136.85 * x1 ** 0.6 * x2 ** 0.4 + -41.925 * x2 + -660.65 * x1 + 118.4 * y1 + 558.725,17.751495599746704,33
-349.725 * x1 ** 0.1 * x2 ** 0.3 + 270.2 * x2 + 33.6 * x1 + 74.1 * y1 + -98.425,17.834296226501465,33
-383.8 * x1 ** 0.3 * x2 ** 0.1 + 135.625 * x2 + 202.775 * x1 + -277.975 * y1 + 261.15,15.160367250442505,28
-52.4 * x1 ** 0.2 * x2 ** 0.4 + -374.925 * x2 + -269.125 * x1 + -110.3 * y1 + 803.625,28.052916288375854,51
-15.05 * x1 ** 0.4 * x2 ** 0.3 + 601.35 * x2 + 335.65 * x1 + -606.1 * y1 + 548.525,30.07043433189392,55
-146.325 * x1 ** 0.3 * x2 ** 0.1 + -149.0 * x2 + 110.7 * x1 + -71.2 * y1 + -452.4,30.501437664031982,56
-282.225 * x1 ** 0.4 * x2 ** 0.1 + -270.275 * x2 + 97.475 * x1 + -282.875 * y1 + 456.95,16.543028593063354,30
-183.825 * x1 ** 0.4 * x2 ** 0.2 + 35.25 * x2 + 160.4 * x1 + 557.9 * y1 + -173.0,21.44179916381836,39
-240.425 * x1 ** 0.1 * x2 ** 0.2 + 291.55 * x2 + 410.85 * x1 + 304.95 * y1 + 124.875,25.207731246948242,46
348.55 * x1 ** 0.1 * x2 ** 0.1 + 456.975 * x2 + -569.075 * x1 + -32.35 * y1 + -37.675,20.325489044189453,37
657.425 * x1 ** 0.1 * x2 ** 0.1 + 52.775 * x2 + 220.325 * x1 + 807.325 * y1 + 88.05,21.834509134292603,40
-53.3 * x1 ** 0.1 * x2 ** 0.2 + -372.1 * x2 + 205.175 * x1 + -780.525 * y1 + -779.15,11.49355697631836,21
-57.7 * x1 ** 0.1 * x2 ** 0.1 + 2.75 * x2 + 84.2 * x1 + -775.825 * y1 + 56.925,35.53520178794861,65
