best_programs,time_used,gen_counts
-0.004 * x1 ** 0.3 * x2 ** 0.3 + -0.001 * x2 + 0.071 * x1 + 0.009 * y1 + 3030.0,34.5914523601532,61
0.005 * x1 ** 0.1 * x2 ** 0.4 + 0.506 * x2 + 0.03 * x1 + 0.01 * y1 + -0.003,19.923877000808716,38
0.053 * x1 ** 0.5 * x2 ** 0.1 + -0.999 * x2 + 0.97 * x1 + -0.0 * y1 + 0.0,11.54794692993164,22
-0.005 * x1 ** 0.2 * x2 ** 0.3 + -0.019 * x2 + 0.004 * x1 + 0.007 * y1 + 0.0,23.10221219062805,44
-3.32 * x1 ** 0.4 * x2 ** 0.3 + 0.854 * x2 + 0.0 * x1 + -0.019 * y1 + 0.0,19.507182121276855,37
0.0 * x1 ** 0.2 * x2 ** 0.2 + 0.027 * x2 + 0.004 * x1 + 0.007 * y1 + -0.0,24.826762437820435,47
0.097 * x1 ** 0.1 * x2 ** 0.2 + 0.007 * x2 + -0.0 * x1 + 0.01 * y1 + -0.062,15.253292083740234,29
-0.39 * x1 ** 0.4 * x2 ** 0.1 + 0.999 * x2 + 0.007 * x1 + -0.01 * y1 + 0.001,13.703737020492554,26
0.059 * x1 ** 0.1 * x2 ** 0.1 + 9.7 * x2 + 0.062 * x1 + 0.506 * y1 + -0.001,19.322681188583374,36
0.883 * x1 ** 0.2 * x2 ** 0.2 + 0.0 * x2 + 0.022 * x1 + -0.008 * y1 + -0.0,27.35753846168518,52
2.16 * x1 ** 0.2 * x2 ** 0.4 + 0.187 * x2 + -0.0 * x1 + 0.002 * y1 + 0.825,25.811233520507812,49
0.056 * x1 ** 0.2 * x2 ** 0.4 + 0.506 * x2 + 0.0 * x1 + -0.274 * y1 + 0.001,26.18442678451538,49
0.009 * x1 ** 0.3 * x2 ** 0.5 + 0.1 * x2 + 0.39 * x1 + -0.941 * y1 + -0.004,13.183163404464722,25
0.0 * x1 ** 0.3 * x2 ** 0.1 + -0.419 * x2 + -0.004 * x1 + 0.048 * y1 + 0.03,11.581574201583862,22
0.083 * x1 ** 0.1 * x2 ** 0.3 + -0.01 * x2 + 0.007 * x1 + -0.0 * y1 + -0.0,21.49979281425476,41
-0.022 * x1 ** 0.3 * x2 ** 0.2 + 0.68 * x2 + 0.097 * x1 + 4.19 * y1 + 0.062,15.329644203186035,27
0.0 * x1 ** 0.2 * x2 ** 0.1 + 0.091 * x2 + -0.009 * x1 + 0.001 * y1 + 0.071,22.720754146575928,40
0.245 * x1 ** 0.1 * x2 ** 0.1 + 0.085 * x2 + 0.274 * x1 + 0.0 * y1 + 0.001,28.927310705184937,51
-0.0 * x1 ** 0.1 * x2 ** 0.3 + 0.0 * x2 + -0.001 * x1 + -0.001 * y1 + -0.062,25.532842874526978,45
0.091 * x1 ** 0.1 * x2 ** 0.1 + 0.085 * x2 + 0.419 * x1 + 0.056 * y1 + -0.0,23.200050115585327,41
0.009 * x1 ** 0.1 * x2 ** 0.3 + -0.005 * x2 + -0.941 * x1 + 0.001 * y1 + -0.303,12.467421293258667,22
0.564 * x1 ** 0.1 * x2 ** 0.5 + -0.022 * x2 + -0.001 * x1 + 0.535 * y1 + 0.039,30.153404474258423,53
0.027 * x1 ** 0.1 * x2 ** 0.1 + 0.912 * x2 + 0.001 * x1 + 0.009 * y1 + -0.004,13.07101321220398,23
0.071 * x1 ** 0.2 * x2 ** 0.1 + 39.0 * x2 + -0.022 * x1 + -0.004 * y1 + 0.004,14.133333683013916,25
94.1 * x1 ** 0.6 * x2 ** 0.3 + 0.001 * x2 + -0.0 * x1 + 0.027 * y1 + -593.0,18.211853981018066,32
0.419 * x1 ** 0.5 * x2 ** 0.3 + -0.593 * x2 + -0.003 * x1 + 9990.0 * y1 + -0.033,18.74203896522522,33
-0.0 * x1 ** 0.1 * x2 ** 0.1 + 0.008 * x2 + -0.002 * x1 + -0.001 * y1 + -0.158,14.776912450790405,26
-0.767 * x1 ** 0.4 * x2 ** 0.2 + 0.506 * x2 + 0.048 * x1 + 0.009 * y1 + -0.003,20.448805809020996,36
-0.001 * x1 ** 0.2 * x2 ** 0.2 + 0.001 * x2 + 0.912 * x1 + 3.03 * y1 + 0.002,24.536872625350952,43
0.013 * x1 ** 0.1 * x2 ** 0.2 + 767.0 * x2 + 0.002 * x1 + -33.2 * y1 + 0.068,29.528196096420288,52
