best_programs,time_used,gen_counts
0.002 * x1 ** 0.2 * x2 ** 0.4 + -0.094 * x2 + 0.001 * x1 + -0.048 * y1 + -2.16,20.198735237121582,34
-0.001 * x1 ** 0.1 * x2 ** 0.6 + -0.008 * x2 + 0.506 * x1 + 0.004 * y1 + 0.039,14.999753952026367,26
0.274 * x1 ** 0.4 * x2 ** 0.3 + -0.009 * x2 + 0.361 * x1 + -0.051 * y1 + 0.941,18.38618016242981,30
0.332 * x1 ** 0.1 * x2 ** 0.5 + 0.074 * x2 + 0.068 * x1 + 0.0 * y1 + 0.088,17.299145221710205,30
0.001 * x1 ** 0.2 * x2 ** 0.2 + -0.001 * x2 + -0.245 * x1 + 0.0 * y1 + 7.96,14.37752366065979,25
0.002 * x1 ** 0.4 * x2 ** 0.2 + -0.0 * x2 + -0.051 * x1 + -0.001 * y1 + 0.001,16.233860969543457,28
0.03 * x1 ** 0.3 * x2 ** 0.3 + -1000 * x2 + 0.002 * x1 + 0.071 * y1 + 0.564,20.17511749267578,35
-0.506 * x1 ** 0.1 * x2 ** 0.1 + -0.187 * x2 + 0.094 * x1 + 0.564 * y1 + 0.071,18.39668083190918,32
0.506 * x1 ** 0.3 * x2 ** 0.3 + -0.0 * x2 + 0.005 * x1 + 0.651 * y1 + 0.535,13.911853313446045,24
0.796 * x1 ** 0.2 * x2 ** 0.3 + 50.6 * x2 + 0.056 * x1 + 8540.0 * y1 + -0.001,17.881442308425903,31
0.0 * x1 ** 0.3 * x2 ** 0.3 + -0.025 * x2 + -0.767 * x1 + 0.0 * y1 + 0.01,24.240792989730835,42
0.006 * x1 ** 0.1 * x2 ** 0.2 + 0.0 * x2 + 8.54 * x1 + 0.001 * y1 + -0.002,31.147530794143677,54
0.1 * x1 ** 0.1 * x2 ** 0.3 + 912.0 * x2 + -0.001 * x1 + 0.027 * y1 + 0.796,22.983338117599487,40
0.448 * x1 ** 0.1 * x2 ** 0.3 + 0.003 * x2 + -0.003 * x1 + 0.019 * y1 + 0.062,16.190587043762207,28
0.085 * x1 ** 0.1 * x2 ** 0.1 + 0.077 * x2 + 0.001 * x1 + -0.085 * y1 + 0.535,19.64265775680542,34
0.593 * x1 ** 0.1 * x2 ** 0.3 + 0.027 * x2 + -0.0 * x1 + 7380.0 * y1 + -0.074,12.626755714416504,22
79.6 * x1 ** 0.4 * x2 ** 0.1 + -0.022 * x2 + 0.005 * x1 + 0.004 * y1 + -0.39,19.092557668685913,33
0.025 * x1 ** 0.8 * x2 ** 0.2 + 65.1 * x2 + -0.083 * x1 + -0.001 * y1 + 0.39,14.441394805908203,25
0.274 * x1 ** 0.4 * x2 ** 0.4 + -0.0 * x2 + -0.97 * x1 + 0.001 * y1 + 0.01,17.321695804595947,30
0.005 * x1 ** 0.5 * x2 ** 0.1 + -0.245 * x2 + 0.303 * x1 + -0.001 * y1 + 0.158,25.97564387321472,45
0.0 * x1 ** 0.2 * x2 ** 0.2 + -0.036 * x2 + 0.007 * x1 + 0.001 * y1 + 0.094,15.005819082260132,26
0.796 * x1 ** 0.7 * x2 ** 0.1 + -24.5 * x2 + -0.0 * x1 + -0.003 * y1 + 0.056,14.353654146194458,25
0.077 * x1 ** 0.1 * x2 ** 0.1 + 0.003 * x2 + 0.216 * x1 + 0.999 * y1 + 0.042,12.118735790252686,21
0.1 * x1 ** 0.2 * x2 ** 0.2 + 0.003 * x2 + 0.001 * x1 + -0.003 * y1 + -18.7,19.05216383934021,33
0.303 * x1 ** 0.2 * x2 ** 0.3 + -0.091 * x2 + 0.071 * x1 + 0.088 * y1 + 0.001,24.88030767440796,43
0.001 * x1 ** 0.1 * x2 ** 0.1 + 0.033 * x2 + 0.036 * x1 + 767.0 * y1 + 0.97,35.82283425331116,62
0.912 * x1 ** 0.3 * x2 ** 0.1 + -0.01 * x2 + -0.045 * x1 + -0.0 * y1 + 0.048,21.328288078308105,37
0.796 * x1 ** 0.1 * x2 ** 0.3 + 0.001 * x2 + 0.0 * x1 + -0.007 * y1 + -0.053,23.768651723861694,41
-0.002 * x1 ** 0.2 * x2 ** 0.1 + -0.39 * x2 + -0.002 * x1 + -0.0 * y1 + -0.001,17.90274667739868,31
-0.002 * x1 ** 0.2 * x2 ** 0.2 + 0.0 * x2 + -361.0 * x1 + 0.01 * y1 + -0.001,25.25619864463806,43
